idx,SPLINE_X,SPLINE_Y,SENSOR_TIMESTAMP,SENSOR_PRESSURE,SENSOR_ALTITUDE,SENSOR_AZIMUTH
2,344.45330810546875,228.43447875976562,1722443389849.951,0.8000000000000002,0.66,0.68
2,344.44842529296875,228.69813537597656,1722443389849.955,0.8000000000000002,0.65,0.7200000000000001
2,344.4415588378906,228.94309997558594,1722443389849.959,0.8000000000000002,0.65,0.7200000000000001
2,344.4217834472656,229.16444396972656,1722443389849.967,0.8000000000000002,0.65,0.7200000000000001
2,344.3930358886719,229.35842895507812,1722443389849.969,0.8000000000000002,0.65,0.7200000000000001
2,344.3706970214844,229.53221130371094,1722443389849.973,0.8000000000000002,0.65,0.7200000000000001
2,344.3619079589844,229.6980743408203,1722443389849.977,0.8000000000000002,0.65,0.7200000000000001
2,344.36328125,229.86537170410156,1722443389849.982,0.8000000000000002,0.65,0.7200000000000001
2,344.3670349121094,230.02658081054688,1722443389849.985,0.8000000000000002,0.65,0.7200000000000001
2,344.369140625,230.17648315429688,1722443389849.989,0.8000000000000002,0.65,0.7200000000000001
2,344.36944580078125,230.320068359375,1722443389849.993,0.8000000000000002,0.65,0.7200000000000001
2,344.369140625,230.46121215820312,1722443389849.998,0.8000000000000002,0.65,0.7200000000000001
2,344.3689270019531,230.6026153564453,1722443389850.001,0.8100000000000002,0.65,0.7200000000000001
2,344.368896484375,230.7368621826172,1722443389850.005,0.8100000000000002,0.65,0.7200000000000001
2,344.3689270019531,230.86805725097656,1722443389850.009,0.8100000000000002,0.65,0.7200000000000001
2,344.3689270019531,230.99496459960938,1722443389850.015,0.8100000000000002,0.65,0.7200000000000001
2,344.3689270019531,231.12506103515625,1722443389850.019,0.8100000000000002,0.65,0.7200000000000001
2,344.3689270019531,231.26327514648438,1722443389850.023,0.8100000000000002,0.65,0.7200000000000001
2,344.3689270019531,231.41737365722656,1722443389850.027,0.8100000000000002,0.65,0.7200000000000001
2,344.3689270019531,231.58546447753906,1722443389850.031,0.8100000000000002,0.65,0.7200000000000001
2,344.3689270019531,231.7617950439453,1722443389850.035,0.8100000000000002,0.65,0.7200000000000001
2,344.3689270019531,231.9388885498047,1722443389850.039,0.8100000000000002,0.65,0.7200000000000001
2,344.3689270019531,232.1136932373047,1722443389850.043,0.8100000000000002,0.65,0.7200000000000001
2,344.3689270019531,232.28646850585938,1722443389850.048,0.8100000000000002,0.65,0.7200000000000001
2,344.3689270019531,232.45870971679688,1722443389850.051,0.8100000000000002,0.65,0.7200000000000001
2,344.3689270019531,232.62144470214844,1722443389850.055,0.8100000000000002,0.65,0.7200000000000001
2,344.3689270019531,232.77110290527344,1722443389850.059,0.8100000000000002,0.65,0.7200000000000001
2,344.3689270019531,232.91421508789062,1722443389850.065,0.7900000000000001,0.65,0.7200000000000001
2,344.3594055175781,233.06529235839844,1722443389850.067,0.7400000000000001,0.65,0.7200000000000001
2,344.3270263671875,233.22975158691406,1722443389850.073,0.6400000000000001,0.65,0.7200000000000001
2,344.2644958496094,233.38365173339844,1722443389850.077,0.4800000000000001,0.65,0.7200000000000001
2,344.1790466308594,233.50311279296875,1722443389850.082,0.2600000000000001,0.65,0.7200000000000001
